name,iso,nazwa
Albania,ALB,Albania
Andorra,AND,Andora
Austria,AUT,Austria
Belarus,BLR,Białoruś
Belgium,BEL,Belgia
Bosnia and Herzegovina,BIH,Bośnia i Hercegowina
Bulgaria,BGR,Bułgaria
Croatia,HRV,Chorwacja
Cyprus,CYP,Cypr
Czech Rep.,CZE,Czechy
Denmark,DNK,Dania
Estonia,EST,Estonia
Finland,FIN,Finlandia
France,FRA,Francja
Germany,DEU,Niemcy
Greece,GRC,Grecja
Hungary,HUN,Węgry
Iceland,ISL,Islandia
Iran (Islamic Rep. of),IRN,Iran
Iraq,IRQ,Irak
Ireland,IRL,Irlandia
Israel,ISR,Izrael
Italy,ITA,Włochy
Jordan,JOR,Jordania
Latvia,LVA,Łotwa
Lebanon,LBN,Liban
Liechtenstein,LIE,Liechtenstein
Lithuania,LTU,Litwa
Luxembourg,LUX,Luksemburg
Malta,MLT,Malta
Monaco,MCO,Monako
Montenegro,MNE,Czarnogóra
Netherlands,NLD,Holandia
Norway,NOR,Norwegia
Palestinian,PSE,Palestyna
Poland,POL,Polska
Portugal,PRT,Portugalia
Rep. of Moldova,MDA,Mołdawia
Romania,ROU,Rumunia
Russian Federation,RUS,Rosja
San Marino,SMR,San Marino
Serbia and Kosovo: S/RES/1244 (1999),SRB,Serbia
Slovakia,SVK,Słowacja
Slovenia,SVN,Słowenia
Spain,ESP,Hiszpania
Sweden,SWE,Szwecja
Switzerland,CHE,Szwajcaria
Syrian Arab Rep.,SYR,Syria
The former Yugoslav Rep. of Macedonia,MKD,Macedonia
Turkey,TUR,Turcja
Ukraine,UKR,Ukraina
United Kingdom of Great Britain and Northern Ireland,GBR,Wielka Brytania